,Title,Release date,Share of positive reviews (in %),Total number of reviews,Normal price (€),Discounted price if there is a sale (€),Sale rate (in %)
4964,Out of Ammo,2016-09-14,84,613,14.99,,
4965,Ascension - Collection Bundle,,84,585,17.81,,
4966,Iron Brigade,2012-08-13,84,585,14.99,,
4967,Ascension: Deckbuilding Game,2014-12-16,84,575,9.99,,
4968,Games from Salamandra88,,84,577,17.03,,
4969,Q.U.B.E. 2 - Deluxe Edition (Game &amp; Season Pass),,84,576,35.08,,
4970,Executive Assault 2,2018-10-18,84,570,20.99,,
4971,Plebby Quest: The Crusades,2020-04-08,84,563,16.79,,
4972,Launch Special Complete Pack,,84,563,18.7,,
4973,Crash Wheels,2018-12-20,84,547,4.99,,
4974,Assassin's Creed® Origins - The Curse Of The Pharaohs,2018-03-13,84,524,19.99,,
4975,The Talos Principle VR,2017-10-17,84,513,36.99,,
4976,The Mercury Man,2018-05-20,84,521,3.99,,
4977,Goat Simulator: GoatZ,2015-05-07,84,517,4.99,,
4978,Oniken: Unstoppable Edition,2014-02-05,84,517,4.99,,
4979,DariusBurst CS Super Saviours Pack,,84,500,115.43,,
4980,Onset,2019-12-13,84,491,16.99,,
4981,Karate Master 2 Knock Down Blow,2015-03-20,84,494,9.99,,
4982,KumaKuma Manga DLC Pack,,84,489,8.06,,
4983,KumaKuma Manga Editor,2019-02-27,84,474,4.99,,
4984,Total War: WARHAMMER - The King and the Warlord,2016-10-20,84,463,8.99,,
4985,Borderlands 2: Mechromancer Pack,2012-10-09,87,437,9.99,,
4986,EMERGENCY Classics,,84,459,24.77,,
4987,DOOM 3 Resurrection of Evil,2007-08-03,84,457,2.99,,
4988,NOBUNAGA'S AMBITION: Sphere of Influence,2015-09-01,84,455,59.99,,
4989,The Next BIG Thing,2011-04-21,84,432,9.99,,
4990,Verdict Guilty - 유죄 평결,2016-06-13,84,433,4.49,,
4991,The Fall of the Dungeon Guardians - Enhanced Edition,2015-11-06,84,428,19.99,,
4992,Little Racers STREET,2014-02-06,84,423,5.99,,
4993,Uncraft World,2015-09-25,84,409,9.99,,
4994,Goat Simulator: PAYDAY,2016-01-14,84,366,4.99,,
4995,Heroes Rise: The Prodigy,2014-06-17,84,355,3.29,,
4996,Oik 3,2017-11-09,84,353,0.79,,
4997,Killing Floor - Weapons Bundle,,84,345,27.99,,
4998,Men of War: Red Tide,2009-11-02,84,351,4.99,,
4999,Loneminded Game Set,,84,344,2.14,,
5000,Break the G̵amè̢̢͘,2019-07-15,84,329,8.19,,
5001,The Eyes of Ara,2016-07-19,84,322,12.49,,
5002,The Eyes of Ara - Deluxe Edition,,84,322,20.57,,
5003,Mother Simulator,2018-05-22,84,316,1.99,,
5004,LostWinds,2016-03-24,84,308,9.99,,
5005,DungeonUp,2015-09-04,84,295,3.99,,
5006,Pamali: Indonesian Folklore Horror,2018-12-27,84,289,3.99,,
5007,Protolife,2018-06-15,84,281,11.99,,
5008,Cloudlands : VR Minigolf,2016-04-05,84,281,19.99,,
5009,PAYDAY 2: Gage Spec Ops Pack,2016-11-24,84,285,1.99,,
5010,Sea Salt Digital Deluxe Edition,,84,269,17.98,,
5011,Sea Salt,2019-10-17,84,268,14.99,,
5012,Music - Hearts of Iron IV: Sabaton Soundtrack,2016-06-06,84,264,2.99,1.49,50.0
5013,Märchen Forest: Mylne and the Forest Gift,2018-05-16,84,265,8.19,,
5014,Mana Spark,2018-09-27,84,256,9.99,,
5015,Gray Dawn,2018-06-07,84,252,16.79,,
5016,Worms,2011-10-19,84,257,5.99,,
5017,Hearthlands,2017-04-28,84,250,16.79,,
5018,Achievement Clicker 2019,2018-04-13,84,251,0.99,,
5019,Children of the Nile: Enhanced Edition,2008-07-08,84,252,6.99,,
5020,Havocado: Ragdoll Fighter,2019-04-25,84,250,16.79,,
5021,TUNNEL No.73 Bundle,,84,245,24.82,,
5022,PAYDAY 2: Scarface Heist,2016-12-15,84,239,2.99,,
5023,The Silver Case: The Deluxe Pack,,84,237,30.08,,
5024,Interplanetary: Enhanced Edition,2017-08-02,84,239,14.99,,
5025,The Silver Case,2016-10-06,84,235,19.99,,
5026,Cursed Treasure 2,2017-07-21,84,227,4.99,,
5027,Son of a Witch,2018-05-16,84,217,14.99,,
5028,Carmageddon Max Pack,1997-06-30,84,219,7.99,1.59,80.0
5029,Six Ages: Ride Like the Wind,2019-10-17,84,206,16.99,,
5030,Romance of the Three Kingdoms IX with Power Up Kit / 三國志IX with パワーアップキット,2017-10-17,84,204,27.99,,
5031,Koihime Enbu 恋姫†演武,2016-05-19,84,201,3.99,,
5032,The Settlers® : Heritage of Kings - History Edition,2019-01-22,84,197,11.99,,
5033,OBEY,2020-05-12,84,200,6.59,4.08,38.0
5034,Rogue Empire: Dungeon Crawler RPG,2019-01-25,84,193,12.49,8.11,35.0
5035,Endless Jade Sea -Midori no Umi-,2019-01-23,84,192,1.59,,
5036,Princesses Never Lose!,2020-03-19,84,194,16.79,,
5037,Sakura Sadist,2018-05-25,84,184,9.99,,
5038,Swords of Gurrah,2020-04-21,84,184,16.79,,
5039,"Batman™: Arkham Origins - Cold, Cold Heart",2014-04-22,84,182,9.99,,
5040,Time Mysteries 3: The Final Enigma,2014-09-11,84,176,7.99,,
5041,Pretty Girls Panic!,2016-12-19,84,176,1.99,,
5042,Mimpi,2015-01-20,84,172,3.99,,
5043,Ballistic Tanks,2016-09-20,84,169,4.99,,
5044,Nanotale - Typing Chronicles,2019-10-23,84,165,14.99,,
5045,Little Big Adventure - Enhanced Edition,2015-10-20,84,159,5.99,,
5046,System Crash,2016-08-01,84,158,12.49,4.99,60.0
5047,Memory's Dogma CODE:01 - Collector's Edition,,84,157,22.48,,
5048,Them and Us,2018-09-07,84,154,20.99,,
5049,Shikhondo(食魂徒) - Soul Eater,2017-10-09,84,150,9.99,,
5050,巴伦西亚传说：索菲亚的重生 Valencia Saga:Sophia's rebirth,2018-09-30,84,138,5.69,,
5051,Pixel Puzzles 2: Anime,2015-03-27,84,136,3.99,,
5052,Atelier Totori ~The Adventurer of Arland~ DX - トトリのアトリエ ～アーランドの錬金術士２～ DX,2018-12-03,84,134,39.99,,
5053,Just Cause™ 3 DLC: Reaper Missile Mech,2016-08-11,84,133,4.99,,
5054,Heroes of Might &amp; Magic V: Hammers of Fate,2008-10-10,84,132,9.99,,
5055,Cat or Bread?,2017-05-08,84,129,0.99,,
5056,Safety First!,2016-09-08,84,124,2.99,,
5057,My Stunt Life,2019-05-02,84,122,0.79,,
5058,Imperator: Rome - Magna Graecia Content Pack,2020-03-31,84,120,7.99,,
5059,Warhammer: End Times - Vermintide Drachenfels,2016-05-26,84,113,8.99,,
5060,Operencia: The Stolen Sun - Explorer's Edition,,84,112,29.15,,
5061,Operencia: The Stolen Sun,2020-03-31,84,111,24.99,,
5062,Prison Princess,2020-04-02,84,110,16.79,,
5063,XenoRaptor,2019-12-24,84,109,8.19,,
5064,Planet Coaster - Studios Pack,2018-03-27,84,106,10.99,,
5065,Darkest Dungeon Soundtrack,2015-02-03,84,108,9.99,,
5066,Making History: The Calm and the Storm Gold Edition,2015-05-19,84,106,4.99,,
5067,Super Phantom Cat,2019-04-24,84,106,3.99,,
5068,CRAZY DRIVER,2019-08-25,84,105,0.79,,
5069,Sounds of Verity,2018-03-27,84,103,3.99,,
5070,Defense Zone 2,2014-05-30,84,102,3.29,,
5071,South Park™: The Fractured But Whole™ - Bring The Crunch,2018-07-31,84,101,11.99,,
5072,39 Days to Mars,2018-04-25,84,101,12.49,,
5073,DRAGON BALL FIGHTERZ - FighterZ Pass 2,2019-01-31,84,96,24.99,,
5074,Demonheart: Hunters,2020-01-28,84,92,18.99,15.19,20.0
5075,Bullet Roulette VR,2019-09-11,84,91,4.99,,
5076,Train Sim World®: Northern Trans-Pennine: Manchester - Leeds Route Add-On,2018-12-13,84,91,29.99,,
5077,heHunter: Call of the Wild™ - Weapon Pack 3,2019-08-01,84,88,3.99,,
5078,Forsaken Remastered,2018-07-31,84,88,16.79,,
5079,Not Without My Poop,2018-02-02,84,86,0.99,,
5080,Train Sim World®: DB BR 182 Loco Add-On,2019-04-11,84,85,13.99,,
5081,The Surge: A Walk in the Park DLC,2017-12-05,84,83,9.99,,
5082,Tee Time Golf,2018-08-31,84,82,8.19,,
5083,Tasty Planet Forever,2018-10-16,84,79,8.19,,
5084,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - The Sound Four Characters Pack,2016-05-09,84,78,6.99,,
5085,Copoka,2017-02-15,84,77,4.99,,
5086,Tomb Raider: Hunter Skin,2013-03-26,84,77,0.79,,
5087,Talisman: Origins,2019-05-16,84,75,5.69,,
5088,Pleasure Puzzle:Workshop 趣拼拼：拼图工坊,2018-10-31,84,73,0.79,,
5089,Cherry Tree High I! My! Girls!,2014-11-20,84,75,3.99,,
5090,J.A.C.K.,2016-12-15,84,71,14.99,,
5091,Tomb Raider: Demolition Skin,2013-05-07,84,71,0.79,,
5092,IL-2 Sturmovik: Battle of Moscow,2016-08-09,84,70,46.99,,
5093,"Spy Fox 3 ""Operation Ozone""",2014-05-15,84,70,6.99,,
5094,Barro 2020,2019-11-01,84,69,0.79,0.39,51.0
5095,Adventure Land - The Code MMORPG,2019-01-28,84,69,12.49,,
5096,Sudden Strike 4 - Africa: Desert War,2018-10-12,84,66,9.99,3.49,65.0
5097,Hidden Folks - Beach Pack,2018-10-24,84,66,2.99,,
5098,Darksiders III - Digital Extras,2018-11-27,84,66,21.99,,
5099,Puzzle With Your Friends,2018-04-24,84,66,4.99,,
5100,Still Not Dead,2018-01-24,84,65,9.99,,
5101,Civilization V - Civ and Scenario Pack: Denmark (The Vikings),2011-05-03,84,64,3.49,,
5102,PowerBeatsVR,2019-04-18,84,63,19.99,,
5103,Red Rope: Don't Fall Behind,2016-07-21,84,63,7.99,,
5104,Battlefleet Gothic: Armada - Tau Empire,2016-09-29,84,63,6.99,,
5105,Train Simulator: Portsmouth Direct Line Route Add-On,2011-04-22,84,59,8.99,,
5106,Train Simulator: Isle of Wight Route Add-On,2012-09-20,84,59,12.99,,
5107,Batman™: Arkham Knight - 1989 Movie Batmobile Pack,2015-10-28,84,59,1.99,,
5108,Heaven's Hope - Special Edition,2016-02-25,84,58,9.99,,
5109,Railway Empire - Germany,2019-03-01,84,57,12.99,,
5110,Railway Empire - The Great Lakes,2018-08-17,84,57,7.99,,
5111,Marine Park Empire,2015-09-03,84,57,6.99,,
5112,D: The Game,2016-10-27,84,57,5.99,,
5113,Ghoulboy - Dark Sword of Goblin,2017-11-29,84,57,6.59,,
5114,The Escapists 2 - Season Pass,2017-08-21,84,52,9.99,,
5115,Eternal Dread 2,2019-12-13,84,51,8.19,,
5116,Train Valley - Germany,2016-04-07,84,51,2.49,,
5117,Serment - Contract with a Devil,2019-02-01,84,50,14.99,,
5118,Nephise: Ascension,2018-02-27,84,50,4.99,2.99,40.0
5119,Dungeons 3 - Clash of Gods,2018-09-28,84,50,9.99,,
5120,Dead Space: Downfall,2017-11-21,84,50,3.99,,
5121,Assassin's Creed Syndicate - Victorian Legends pack,2015-11-18,84,50,4.99,,
5122,Endless Legend™ - Echoes of Auriga,2015-11-19,84,50,2.99,,
5123,Lance A Lot: Classic Edition,2016-10-18,84,50,4.99,,
5124,Rust,2018-02-08,83,336224,33.99,,
5125,7 Days to Die,2013-12-13,83,84282,22.99,,
5126,Stellaris: Starter Pack,,83,59364,99.95,35.95,64.0
5127,Europa Universalis IV: Empire Bundle,,83,55658,264.84,110.09,58.0
5128,MORDHAU Supporter Bundle,,83,57028,33.23,,
5129,MORDHAU,2019-04-29,83,56770,24.99,,
5130,Chivalry: Medieval Warfare,2012-10-16,83,45014,22.99,,
5131,Metro 2033 Redux,2014-08-28,83,37770,19.99,,
5132,Insurgency: Sandstorm,2018-12-12,83,37460,29.99,,
5133,heHunter: Call of the Wild™,2017-02-16,83,33920,19.99,,
5134,DiRT Bundle,,83,29539,71.97,,
5135,Middle-earth™: Shadow of War™,2017-10-10,83,28427,39.99,,
5136,CMS 2018 + UBOAT,,83,28147,44.98,21.87,51.0
5137,Versus Evil Publisher Sale Bundle,,83,24751,287.84,91.52,68.0
5138,Max Payne 3,2012-05-31,83,24803,19.99,,
5139,TEKKEN 7,2017-06-01,83,22129,39.99,,
5140,TEKKEN 7,2017-06-01,83,22129,39.99,,
5141,Remnant: From the Ashes - Swamps of Corsus Bundle,,83,21252,44.98,,
5142,The Sims 3 Plus Pets,2013-01-21,83,18441,29.99,,
5143,The Sims 3 Plus University Life,2013-03-05,83,18288,29.99,,
5144,The Sims™ 3,2011-01-27,83,18153,19.99,,
5145,Crysis Collection,,83,16419,39.99,,
5146,FSX: Steam Edition + Piper Aztec Twin Pack,,83,14461,31.48,,
5147,FSX: Steam Edition + Skychaser Add-On Twin Pack,,83,14422,31.48,,
5148,Microsoft Flight Simulator X: Steam Edition,2014-12-18,83,14413,24.99,,
5149,Microsoft FSX: Steam Edition + Fair Dinkum Flights Add-On Twin Pack,,83,14432,28.48,,
5150,DRAGON BALL XENOVERSE 2,2016-10-27,83,13997,49.99,,
5151,Winged Cloud Bundle,,83,12882,196.63,,
5152,Life is Strange 2,2018-09-26,84,11669,7.99,,
5153,Graveyard Keeper Collector's Edition,,83,11385,29.54,,
5154,Graveyard Keeper,2018-08-15,83,11239,16.79,,
5155,Endless Space® 2 Collection,,83,10852,80.02,,
5156,Call of Duty®: Black Ops II,2012-11-13,83,10395,59.99,19.79,67.0
5157,Endless Space® 2 - Starter Pack,,83,10296,46.75,,
5158,Assassin's Creed™: Director's Cut Edition,2008-04-09,83,7825,9.99,,
5159,Remember Me,2013-06-03,83,7726,27.99,,
5160,Assassin's Creed Revelations - Gold Edition,2012-03-29,83,7720,19.99,,
5161,Thief Simulator + VR Version,,83,6682,32.48,18.17,44.0
5162,Transport Fever 2,2019-12-11,83,6489,39.99,,
5163,Thief Simulator,2018-11-09,83,6375,19.99,11.39,43.0
5164,This Is the Police,2016-08-02,83,6216,14.99,,
5165,DJMAX RESPECT V - Complete Edition,,83,6141,70.03,,
5166,DJMAX RESPECT V - Deluxe Edition,,83,6116,64.05,,
5167,The Incredible Adventures of Van Helsing - Complete Pack,,83,5641,19.99,,
5168,FaceRig,2015-07-07,83,5102,14.99,,
5169,"Flashing Lights - Police, Firefighting, Emergency Services Simulator",2018-06-07,83,5041,16.99,,
5170,E.Y.E: Divine Cybermancy,2011-07-29,83,4600,9.99,,
5171,Ni no Kuni™ II: Revenant Kingdom,2018-03-23,83,4215,59.99,,
5172,Morphopolis,2014-08-14,83,4249,3.29,,
5173,Evoland,2013-04-04,83,4206,9.99,,
5174,Endless Loop Management,,83,4052,15.9,,
5175,Far Cry®,2008-04-01,83,3992,9.99,3.99,60.0
5176,STAR WARS™ Classic Collection,,83,3888,44.32,,
5177,Deadliest Fishing Pack,,83,3122,35.08,,
5178,"Yes, Your Grace + Soundtrack",,83,3099,22.48,,
5179,"Yes, Your Grace",2020-03-06,83,3090,16.79,,
5180,Airport CEO,2017-09-28,83,3102,16.79,,
5181,Action! - Gameplay Recording and Streaming,2014-05-08,83,3066,33.99,,
5182,Attack on Titan / A.O.T. Wings of Freedom,2016-08-26,83,2794,59.99,,
5183,Neverwinter Nights: Enhanced Edition Digital Deluxe,,83,2799,58.48,36.42,38.0
5184,Squishy the Suicidal Pig,2014-10-23,83,2777,4.99,,
5185,Tomb Raider: Anniversary,2007-06-05,83,2784,8.99,,
5186,F1 2016,2016-09-07,83,2567,14.99,,
5187,妄想破绽 Broken Delusion,2019-11-27,83,2541,5.69,,
5188,Tales of Symphonia,2016-02-01,83,2500,19.99,,
5189,The Ship: Murder Party,2006-07-11,83,2492,9.99,,
5190,12 is Better Than 6,2015-11-20,83,2448,6.99,,
5191,Phantom Breaker: Battle Grounds,2015-01-23,83,2309,11.99,,
5192,Everything,2017-04-21,83,2249,12.99,,
5193,Zombie Driver HD,2012-10-17,83,2231,,,
5194,Ultimate General: Gettysburg,2014-10-16,83,2110,14.99,,
5195,Gust bundle: Atelier Sophie &amp; Nights of Azure,,83,2024,47.98,,
5196,LEGO® MARVEL's Avengers,2016-01-26,83,2005,29.99,,
5197,Kou Shibusawa Archives Vol.6-11 / シブサワ・コウ アーカイブスパック Vol.6-11,,83,1998,273.52,,
5198,Street Legal Racing: Redline Combo Pack,,83,1946,7.18,,
5199,Expeditions: Viking,2017-04-27,83,1960,29.99,,
5200,Beat Cop,2017-03-30,83,1933,14.99,,
5201,"I, Zombie",2014-12-08,83,1897,1.99,0.49,75.0
5202,Mega Man Legacy Collection / ロックマン クラシックス コレクション,2015-08-24,83,1900,14.99,,
5203,Arma 2,2009-06-29,83,1801,9.99,,
5204,Throne of Lies® The Online Game of Deceit,2017-09-29,83,1808,9.99,,
5205,Kona,2017-03-17,83,1672,14.99,,
5206,Commandos 2: Men of Courage,2007-03-15,83,1633,4.99,,
5207,Call of Juarez: Bound in Blood,2009-06-30,83,1627,9.99,,
5208,Welcome to the Game - 1337 Edition,,83,1638,5.38,,
5209,Kentucky Route Zero: PC Edition,2013-02-22,83,1606,22.99,,
5210,Welcome to the Game,2016-06-15,83,1622,4.99,,
5211,Frankenstein: Master of Death,2015-03-09,83,1591,4.99,,
5212,MX vs. ATV Reflex,2010-11-26,83,1581,19.99,4.99,75.0
5213,Zero Caliber VR,2018-11-09,83,1544,24.99,,
5214,Hitman 2: Silent Assassin,2007-03-15,83,1458,8.99,,
5215,Duke Nukem 3D: 20th Anniversary World Tour,2016-10-11,83,1448,19.99,,
5216,Street Racing Syndicate,2014-04-24,83,1384,2.39,,
5217,Another Brick in The Mall,2020-04-30,83,1372,14.99,,
5218,Battlestar Galactica Deadlock Season One,,83,1312,63.76,,
5219,Quantum Conundrum,2012-06-21,83,1292,8.99,,
5220,The Gallery - EP1: Call of the Starseed &amp; EP2: Heart of the Emberstone,,83,1261,43.18,,
5221,GROUND BRANCH,2018-08-14,83,1276,16.79,,
5222,Gloomhaven,2019-07-17,83,1265,24.99,,
5223,Battlestar Galactica Deadlock Season Two,,83,1246,47.72,,
5224,Battlestar Galactica Deadlock,2017-08-31,83,1219,36.99,,
5225,Attack on Titan 2: Final Battle,,83,1186,69.99,,
5226,Urban Trial Freestyle,2013-09-18,83,1178,6.99,,
5227,River City Girls,2019-09-05,83,1158,24.99,,
5228,Giana Sisters: Twisted Bundle,,83,1110,17.99,,
5229,寄居隅怪奇事件簿 Hermitage Strange Case Files,2018-11-12,83,1104,8.19,,
5230,Welcome to the Game II,2018-04-03,83,1075,7.99,,
5231,Pogostuck: Rage With Your Friends,2019-02-28,83,1006,6.99,,
5232,Two adventure games about being a news editor,,83,963,14.58,11.55,21.0
5233,Edna Loyalty Bundle,,83,944,17.48,,
5234,FURIDASHI: Drift Cyber Sport - ULTIMATE VERSION,,83,956,39.96,17.08,57.0
5235,FURIDASHI: Drift Cyber Sport,2017-11-02,83,955,14.99,9.44,37.0
5236,FURIDASHI: Drift Cyber Sport - Special Edition #2,,83,955,24.98,11.54,54.0
5237,HellSign,2018-11-09,83,926,14.99,,
5238,A Legionary's Life,2019-09-25,83,904,6.99,,
5239,Battle Realms: Zen Edition,2019-12-03,83,841,8.19,,
5240,ЕСТЬ ДВА СТУЛА,2018-06-19,83,829,0.79,,
5241,The Drone Racing League Simulator,2017-11-01,83,834,8.19,,
5242,Blade Kitten,2014-05-22,83,797,2.49,,
5243,VR MegaPack,,83,792,28.21,,
5244,Nimbatus - The Space Drone Constructor,2020-05-14,83,733,16.79,12.59,25.0
5245,Nimbatus &amp; Soundtrack,,83,729,20.78,14.56,30.0
5246,Stronghold Legends: Steam Edition,2016-09-15,83,700,14.99,,
5247,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,2017-08-25,83,672,19.99,,
5248,openCanvas Upgrade Edition,,83,656,67.33,,
5249,HELLDIVERS™ Reinforcements Mega Bundle,2015-12-07,83,650,19.99,,
5250,Disciples II: Rise of the Elves ,2006-07-06,83,654,6.99,,
5251,Iron Marines,2019-05-15,83,649,12.49,,
5252,Intruder,2019-03-01,83,647,16.79,,
5253,Enigmatis: The Ghosts of Maple Creek,2014-10-16,83,645,7.99,,
5254,Cyberhunt,2017-05-19,83,617,0.79,,
5255,觅长生,2019-11-25,83,614,7.39,,
5256,Blitzkrieg 2 Anthology,2014-09-16,83,614,4.99,1.49,70.0
5257,Tengami,2015-01-15,83,624,4.99,,
5258,Tomb Raider III,2012-11-28,83,610,6.99,,
5259,Nexus - The Jupiter Incident,2007-07-03,83,605,9.99,,
5260,Fruit Ninja VR,2016-12-15,83,590,14.99,,
5261,NASCAR Heat 4,2019-09-13,83,562,24.99,,
5262,Q.U.B.E. 2,2018-03-13,83,554,24.99,,
5263,NASCAR Heat 4 Gold Edition,,83,565,33.99,,
5264,Revenge of the Titans,2011-03-16,83,535,12.49,,
5265,Euro Truck Simulator 2 - Krone Trailer Pack,2018-09-17,83,523,3.99,,
5266,Arma 3 Karts,2014-05-29,83,518,1.49,,
5267,Okhlos: Omega,2016-08-18,83,520,12.99,,
5268,STORM AREA 51: AYY LMAO EDITION,2019-09-19,83,515,0.79,,
5269,Divinity: Original Sin 2 - Companion: Sir Lora the Squirrel,2018-08-31,83,477,2.39,,
5270,TyranoBuilder Visual Novel Studio,2015-03-27,83,452,14.99,,
5271,RESONANCE OF FATE™/END OF ETERNITY™ 4K/HD EDITION,2018-10-17,83,449,34.99,,
5272,KILL THE EMOJI 😱,2017-09-08,83,441,2.99,,
5273,Unheard疑案追声 - 黑面观音,2020-01-16,83,438,4.99,,
5274,The Station,2018-02-19,83,442,14.99,4.49,70.0
5275,The Binary Mill VR Bundle,,83,434,36.78,22.06,40.0
5276,Foul Play,2013-09-18,83,425,14.99,,
5277,Mirror Maker,2019-01-17,83,427,1.59,,
5278,Nancy Drew®: Scary Bundle,,83,412,37.84,,
5279,The Convenience Store | 夜勤事件,2020-02-17,83,417,2.39,,
5280,Football Manager 2020 Touch,2019-11-19,83,406,29.99,,
5281,Atari Vault,2016-03-24,83,411,9.99,,
5282,La-Mulana 2,2018-07-30,83,399,20.99,,
5283,Valakas Story,2019-12-03,83,405,3.29,0.39,88.0
5284,The Treasures of Montezuma 4,2014-05-16,83,401,6.99,,
5285,Bad Rats Show,2016-07-20,83,399,1.99,,
5286,Paratopic,2018-09-06,83,392,4.99,,
5287,Despotism 3k,2018-11-08,83,389,6.59,,
5288,DemonCrawl,2019-11-05,83,380,12.49,,
5289,SURV1V3,2018-01-29,83,377,24.99,,
5290,Leanna's Slice of Life,2019-03-07,83,372,12.49,,
5291,Euro Truck Simulator 2 - Actros Tuning Pack,2019-09-04,83,350,3.99,,
5292,Sos i Pie Sos,2018-01-16,83,351,0.99,,
5293,Phoenix Force,2014-11-13,83,340,0.79,,
5294,TrerPlay - Horror Games,,83,334,3.57,,
5295,Children of the Nile Pack,2008-09-22,83,329,8.99,,
5296,Fugl,2017-09-14,83,320,9.99,,
5297,City Game Studio,2019-02-21,83,322,15.99,,
5298,Borderlands 2: Headhunter 5: Son of Crawmerax,2014-04-15,86,308,2.99,,
5299,American Truck Simulator - Special Transport,2018-11-07,83,319,4.99,,
5300,Fantasy of Expedition 奇幻東征,2020-03-11,83,313,8.19,,
5301,Age of Defense,2019-05-27,83,308,8.99,,
5302,Resident Evil 5 - UNTOLD STORIES BUNDLE,2015-03-26,83,309,14.99,,
5303,Army Men RTS,2017-12-20,83,306,5.39,,
5304,SpaceBourne,2018-10-05,83,301,12.49,,
5305,Yet Another Research Dog,2018-02-02,83,300,0.79,,
5306,The Infectious Madness of Doctor Dekker,2017-05-19,83,299,8.99,,
5307,The Wizards - Enhanced Edition,2018-03-08,83,283,24.99,3.74,85.0
5308,Nefarious,2017-01-23,83,279,14.99,,
5309,Summoner,2014-03-12,83,272,4.99,,
5310,Black Future '88,2019-11-21,83,271,19.99,,
5311,Upgrade to Movavi Video Editor Plus 2020,,83,271,63.92,,
5312,Inertia,2017-12-01,83,277,0.79,,
5313,Imperium Galactica II,2017-01-19,83,261,9.99,,
5314,The Book of Unwritten Tales: The Critter Chronicles,2012-12-05,83,259,19.99,,
5315,Fight Angel Complete,,83,255,17.66,,
5316,Super Duper Party Pooper,2016-06-06,83,250,0.99,,
5317,恒水中学连环虐杀 / The untold story of hengshui school,2018-05-02,83,248,3.99,,
5318,Asterix &amp; Obelix XXL 2,2018-11-29,83,242,29.99,,
5319,Infliction,2018-10-17,83,238,17.99,,
5320,Arma 2: Private Military Company,2010-11-30,83,234,6.99,,
5321,SimpleRockets,2015-06-03,83,238,6.99,,
5322,Aporia: Beyond The Valley,2017-07-19,83,235,16.99,,
5323,VR: Vacate the Rooms,,83,231,8.44,,
5324,Princess Project,2019-08-29,83,229,12.49,,
5325,Worms Crazy Golf,2011-10-19,83,228,9.99,,
5326,Steel Armor: Blaze of War,2015-03-05,83,221,27.99,,
5327,The Wardrobe - Complete Bundle,,83,224,15.98,,
5328,Creativerse - Pro,2016-08-24,83,219,19.99,,
5329,Wrestling Revolution 3D,2017-07-20,83,215,9.99,,
5330,AntVentor,2018-05-17,83,213,4.99,,
5331,Trials 2: Second Edition,2008-05-28,83,202,9.99,,
5332,The Shape Of Heart,2016-10-25,83,193,2.99,,
5333,Invasion Machine,2020-02-26,83,192,15.99,,
5334,Starlight of Aeons,2017-12-08,83,181,4.99,,
5335,Strategic Command WWII: World at War,2018-12-06,83,179,33.99,,
